,VaccinationName_ID,VaccinationName,VaccinationContent
42,31,Pneumococcal,PNEUMOCOCCAL
112,64,Prevenar,PNEUMOCOCCAL
138,90,Pnu-Imune,PNEUMOCOCCAL
226,189,Pneumovax II,PNEUMOCOCCAL
282,279,Prevenar - 13,PNEUMOCOCCAL
350,1226,Pneumococcal Polysaccharide Vaccination (sanofi pasteur MSD Ltd),PNEUMOCOCCAL
357,1234,Pneumococcal Polysaccharide Vaccine (MSD),PNEUMOCOCCAL
362,1246,Pneumovax 23,PNEUMOCOCCAL
374,1896,Pneumococcal polysaccharide conjugated vaccine (PCV),PNEUMOCOCCAL
375,1897,Pneumococcal polysaccharide vaccine (PPV),PNEUMOCOCCAL
426,2822,CalibanOnly - Prevenar 13,PNEUMOCOCCAL
