type,id,bnf_code,nm
amp,92511000001106,100101040AAAAAA,Tenoxicam 20mg tablets (A A H Pharmaceuticals Ltd)
amp,565511000001103,100101040AAAAAA,Tenoxicam 20mg tablets (Sandoz Ltd)
amp,602711000001108,100101040AAAAAA,Tenoxicam 20mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,753111000001104,100101040AAAAAA,Tenoxicam 20mg tablets (Kent Pharmaceuticals Ltd)
amp,15229011000001105,100101040AAAAAA,Tenoxicam 20mg tablets (Sigma Pharmaceuticals Plc)
amp,21786211000001109,100101040AAAAAA,Tenoxicam 20mg tablets (Waymade Healthcare Plc)
amp,14946111000001109,100101040AAADAD,Tenoxicam 20mg powder and solvent for solution for injection vials (Essential Generics Ltd)
amp,15023011000001101,100101040AAADAD,Tenoxicam 20mg powder and solvent for solution for injection vials (Alliance Healthcare (Distribution) Ltd)
amp,15151911000001109,100101040AAADAD,Tenoxicam 20mg powder and solvent for solution for injection vials (A A H Pharmaceuticals Ltd)
amp,213111000001102,100101040BBAAAA,Mobiflex 20mg tablets (Mylan)
amp,4379411000001100,100101040BBADAD,Mobiflex 20mg powder and solvent for solution for injection vials (Roche Products Ltd)
amp,589011000001106,100101050BBAAAA,Emflex 60mg capsules (Merck Serono Ltd)
amp,56411000001103,100101070BBAAAA,Synflex 275mg tablets (Roche Products Ltd)
amp,10961711000001107,100101080AAAAAA,Aceclofenac 100mg tablets (Sandoz Ltd)
amp,10961811000001104,100101080AAAAAA,Aceclofenac 100mg tablets (A A H Pharmaceuticals Ltd)
amp,10985211000001100,100101080AAAAAA,Aceclofenac 100mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,13435511000001107,100101080AAAAAA,Aceclofenac 100mg tablets (Mylan)
amp,15058911000001106,100101080AAAAAA,Aceclofenac 100mg tablets (Sigma Pharmaceuticals Plc)
amp,15166111000001109,100101080AAAAAA,Aceclofenac 100mg tablets (Actavis UK Ltd)
amp,17748811000001101,100101080AAAAAA,Aceclofenac 100mg tablets (Phoenix Healthcare Distribution Ltd)
amp,19700711000001109,100101080AAAAAA,Aceclofenac 100mg tablets (DE Pharmaceuticals)
amp,21748411000001104,100101080AAAAAA,Aceclofenac 100mg tablets (Waymade Healthcare Plc)
amp,27840711000001109,100101080AAAAAA,Aceclofenac 100mg tablets (Accord Healthcare Ltd)
amp,33498211000001105,100101080AAAAAA,Aceclofenac 100mg tablets (Rivopharm (UK) Ltd)
amp,844911000001100,100101080BBAAAA,Preservex 100mg tablets (Almirall Ltd)
amp,9834411000001104,1001010AAAAAAAA,Meloxicam 7.5mg tablets (Teva UK Ltd)
amp,9834811000001102,1001010AAAAAAAA,Meloxicam 7.5mg tablets (A A H Pharmaceuticals Ltd)
amp,9856111000001101,1001010AAAAAAAA,Meloxicam 7.5mg tablets (Kent Pharmaceuticals Ltd)
amp,9870211000001108,1001010AAAAAAAA,Meloxicam 7.5mg tablets (Zentiva)
amp,9905911000001107,1001010AAAAAAAA,Meloxicam 7.5mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,9991411000001100,1001010AAAAAAAA,Meloxicam 7.5mg tablets (Mylan)
